keyword,General,Specific
temperature,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
global models,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
South America,Chapter_10_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_11_keywords
RCMs,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
Mediterranean,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
regional climate,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
South Africa,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
observations,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_3_keywords
regional climate change,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
China,Chapter_10_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_11_keywords
uncertainties,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,
regional climate models,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
statistical downscaling,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
medium confidence,Chapter_10_keywords Chapter_11_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_12_keywords
urbanization,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
RCM,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
dynamical downscaling,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
Geoscientific Model Development,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_1_keywords
Climate Change,Chapter_10_keywords Chapter_11_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_12_keywords
Earth System Dynamics,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,
AR5,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,
Cape Town,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
data sources,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,
anthropogenic forcing,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_3_keywords
teleconnections,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
Royal Meteorological Society,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,
United Kingdom,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,
Mediterranean region,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
drought,Chapter_10_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_11_keywords
Africa,Chapter_10_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_11_keywords Chapter_12_keywords
irrigation,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
CRU TS,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
user context,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
predictors,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
anthropogenic aerosols,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_3_keywords
soil moisture,Chapter_10_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_11_keywords
GCM,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
Climatic Change,Chapter_10_keywords Chapter_11_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_12_keywords
Arctic warming,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
confidence,Chapter_10_keywords Chapter_11_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_12_keywords
Hydrology,Chapter_10_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_11_keywords
climate services,Chapter_10_keywords Chapter_11_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_12_keywords
distillation,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
aerosols,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_6_keywords
Internal Variability,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
CORDEX,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
National Academy of Sciences,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,
Bias adjustment,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
attribution,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_3_keywords
urban heat island,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
Uncertainty,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
global warming,Chapter_10_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_11_keywords
regional climate projections,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
Indian summer monsoon,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
ENSO,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,
extreme events,Chapter_10_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_11_keywords
distillation process,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
greenhouse gases,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_3_keywords
SMILEs,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
Urban Climate,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
North America,Chapter_10_keywords Chapter_11_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_12_keywords
external forcing,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords Chapter_3_keywords
regional models,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
GPCC,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
regional climate model,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
forced response,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
Sahel rainfall,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
Climate Services,Chapter_10_keywords Chapter_11_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_12_keywords
Cape Town region,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
Remote Sensing,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_2_keywords
Australia,Chapter_10_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_11_keywords Chapter_12_keywords
observational uncertainty,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords Chapter_3_keywords
heatwaves,Chapter_10_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_11_keywords
climate projections,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_1_keywords
West Africa,Chapter_10_keywords Chapter_11_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_12_keywords
added value,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
global model,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
RCM simulations,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
Mediterranean Sea,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
Cambridge University Press,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_1_keywords
human influence,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_3_keywords
Regional Climate Information,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
North Atlantic Oscillation,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_3_keywords
AMV,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_3_keywords
downscaling,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
Arctic amplification,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_4_keywords
Precipitation,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
HighResMIP,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords Chapter_3_keywords
CMIP3,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_3_keywords
interannual variability,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,
precipitation changes,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
aerosol emissions,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
Regional Environmental Change,Chapter_11_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords Chapter_12_keywords
Water Resources Research,Chapter_10_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_11_keywords
Meteorological Society,Chapter_10_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_11_keywords
Intergovernmental Panel on Climate Change,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_1_keywords
modelling,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,
high confidence,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,
convection,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
weather generators,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
regional,Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,Chapter_10_keywords
land use,Chapter_10_keywords Chapter_11_keywords Chapter_12_keywords Chapter_1_keywords Chapter_2_keywords Chapter_3_keywords Chapter_4_keywords Chapter_5_keywords Chapter_6_keywords Chapter_7_keywords Chapter_9_keywords,
